name,price,rating,category,number of reviews,type,Distance from Downtown
Hôtel Tourisme Avenue,"US$1,205",9.0,Wonderful,"1,463 reviews",Business Room,4 km from downtown
Hôtel Istria by Magna Arbor,US$829,8.2,Very Good,"2,012 reviews",Standard Double Room,2.4 km from downtown
Solar Hotel,US$901,8.0,Very Good,"2,198 reviews",Double Room,3 km from downtown
Hotel Alhambra,US$625,8.0,Very Good,"4,383 reviews",Single Room,1.5 km from downtown
Grand Hôtel De Paris,US$566,7.0,Good,"4,489 reviews",Single Room,2.1 km from downtown
Maison Du Pré,US$465,7.6,Good,"2,246 reviews",Single Room,2.6 km from downtown
Hotel de Neuville Arc de Triomphe,US$658,8.2,Very Good,811 reviews,Classic Double Room,5 km from downtown
Hôtel Résidence A la Buttes aux Cailles,US$481,8.6,Excellent,332 reviews,Studio,3.1 km from downtown
Hôtel Aston Paris,US$786,7.7,Good,"2,499 reviews",Single Room - Disability Access - Exterior access,1.8 km from downtown
ibis Paris Vaugirard Porte de Versailles,US$385,7.8,Good,951 reviews,Standard Double Room,4.7 km from downtown
Hotel France Albion,US$658,8.6,Excellent,"1,597 reviews",Single Room,2.5 km from downtown
ibis Styles Paris Gare de l'Est Château Landon,US$477,7.0,Good,875 reviews,Standard Single Room,2.6 km from downtown
Hôtel Château d'Eau,US$545,8.2,Very Good,229 reviews,Single Room,1.8 km from downtown
Hilton Garden Inn Paris La Villette,US$752,8.7,Excellent,558 reviews,King Room,5 km from downtown
Timhotel Paris Gare de l'Est,US$622,7.7,Good,"1,334 reviews",Single Room,2.1 km from downtown
Belambra Clubs & Hotels - Le Magendie,US$561,7.9,Good,"4,010 reviews",Single Room,2.6 km from downtown
Le Hameau de Passy,US$715,7.7,Good,"2,824 reviews",Single Room,5.3 km from downtown
Le Malown,US$652,7.9,Good,"1,580 reviews",Small Deluxe Single Room,2.6 km from downtown
9Hotel Bastille-Lyon,US$755,8.1,Very Good,"2,036 reviews",Standard Single Room,1.8 km from downtown
Best Western Quartier Latin Pantheon,US$743,7.6,Good,"1,862 reviews",Superior Queen Room,1.5 km from downtown
CAMPANILE PARIS 12 - Bercy Village,US$628,7.8,Good,"6,786 reviews",Standard Room - 2 Single Beds,3.6 km from downtown
Hôtel Piapia,US$650,8.8,Excellent,"2,951 reviews",Single Room,4.2 km from downtown
Ibis Styles Paris Massena Olympiades,US$530,7.9,Good,"2,189 reviews",Standard Double Room,4 km from downtown
Urban Bivouac Hotel,US$590,8.8,Excellent,"2,209 reviews",Single Room,3.5 km from downtown
Hôtel Relais Monceau,US$636,8.0,Very Good,981 reviews,Superior Double Room,3.6 km from downtown
ibis Paris La Villette Cité des Sciences 19ème,US$397,7.3,Good,"3,177 reviews",Standard Twin Room,4.6 km from downtown
All Suites Appart & Hotel Paris 13 Porte d'Italie,US$449,8.0,Very Good,"1,582 reviews",Standard Room (Double Bed),4.5 km from downtown
Timhotel Tour Montparnasse,US$584,7.8,Good,"1,756 reviews",Standard Single Room,2.7 km from downtown
Timhotel Paris Gare Montparnasse,US$584,7.5,Good,"2,647 reviews",Basic Single Room,2.7 km from downtown
Virgina,US$540,8.5,Very Good,"3,143 reviews",Standard Double Room,4 km from downtown
Hôtel des 3 Poussins,US$780,8.8,Excellent,"1,853 reviews",Standard Single Room,2.7 km from downtown
Hôtel Hor Les Lumières,US$765,8.3,Very Good,"3,180 reviews",Double Room,1.9 km from downtown
Hôtel Diva Opera,US$999,8.0,Very Good,"1,740 reviews",Standard Twin Room,1.9 km from downtown
Hôtel Du Printemps,US$550,8.8,Excellent,"1,171 reviews",Single Room,3.9 km from downtown
ibis Paris Gare De L Est 10ème,US$559,7.5,Good,910 reviews,Standard Double Room,2.1 km from downtown
B&B HOTEL Paris 17 Batignolles,US$556,8.2,Very Good,"13,223 reviews",Double Room,5.1 km from downtown
Hotel Scarlett,US$637,8.3,Very Good,"1,229 reviews",Classic Double Room,2.9 km from downtown
Best Western Bretagne Montparnasse,US$571,8.4,Very Good,887 reviews,Superior Queen Room - Non-Smoking,3.2 km from downtown
Hôtel Gaston,US$617,7.8,Good,"1,156 reviews",Single Room,4.7 km from downtown
Hôtel Clarisse,US$584,8.1,Very Good,989 reviews,Classic Double Room,4.8 km from downtown
Timhotel Paris Gare de Lyon,US$681,7.7,Good,"1,913 reviews",Classic Room,1.8 km from downtown
ibis Styles Paris Gare de l'Est TGV,US$602,7.7,Good,894 reviews,Standard Room with 1 Single Bed,2.2 km from downtown
Agate Hôtel,US$556,8.4,Very Good,"2,280 reviews",Economy Single Room,3.7 km from downtown
HOTEL FORMIO,US$499,7.8,Good,"1,027 reviews",Single Room,2.4 km from downtown
Hotel Duette Paris,US$663,8.4,Very Good,847 reviews,Single Room,4.1 km from downtown
Ibis Budget Paris porte de la Chapelle - Aréna,US$447,7.0,Good,"6,231 reviews",Standard Double Room,5 km from downtown
Hotel Le Rocroy,US$694,8.4,Very Good,"2,052 reviews",Classic room,2.6 km from downtown
Best Western Ronceray Opéra,US$798,7.7,Good,"1,234 reviews",Standard Double Room,1.8 km from downtown
Hôtel le 209 Paris Bercy,US$556,8.4,Very Good,"3,372 reviews",Single Room,3.4 km from downtown
Pavillon Opéra Lafayette,US$439,6.9,Review score,"1,520 reviews",Single Room,2.6 km from downtown
Au Pacific Hotel,US$697,8.3,Very Good,"4,061 reviews",Budget Double Room,4.5 km from downtown
Alyss Saphir Cambronne Eiffel,US$539,7.9,Good,"1,562 reviews",Single Room,4.2 km from downtown
Hotel Cluny Square,US$694,8.4,Very Good,"2,458 reviews",Double Room,0.8 km from downtown
Bob Hotel,US$807,8.5,Very Good,"1,475 reviews",Double Room,3.5 km from downtown
Kyriad Paris 18 - Porte de Clignancourt - Montmartre,US$570,8.3,Very Good,"5,300 reviews",Double Room,4.5 km from downtown
Best Western Plus 61 Paris Nation Hotel,US$713,7.8,Good,"1,625 reviews",Superior Queen Room,4.4 km from downtown
Altona,US$635,7.9,Good,"5,885 reviews",Single Room,2.9 km from downtown
Best Western Hotel Le Montparnasse,US$703,8.1,Very Good,562 reviews,Classic Double Room,2.6 km from downtown
9Hotel Opera,US$796,8.2,Very Good,592 reviews,Single Room,2.2 km from downtown
Hotel André Latin,US$949,8.1,Very Good,"1,574 reviews",Single Room,1.7 km from downtown
Lennon by Avalon Hotel Paris Gare du Nord,US$466,7.4,Good,"2,942 reviews",Charm Standard Single Room,2.7 km from downtown
Hotel Marais Grands Boulevards,US$984,8.3,Very Good,"1,401 reviews",Classic Double Room,1.4 km from downtown
Hotel Paix Republique,US$660,8.3,Very Good,"3,025 reviews",Single Room,1.5 km from downtown
Princesse Caroline,US$820,8.6,Excellent,"1,012 reviews",Standard Double or Twin Room,4.6 km from downtown
Aéro,US$567,7.8,Good,515 reviews,Single Room,5.4 km from downtown
Paris Marriott Rive Gauche Hotel & Conference Center,"US$1,061",6.9,Review score,70 reviews,Deluxe King Room,2.9 km from downtown
Best Western Plus Opéra Batignolles,US$700,8.4,Very Good,"1,707 reviews",Classic Double Room with Double Bed - Non-Smoking,4.4 km from downtown
Citadines Austerlitz Paris,US$703,8.2,Very Good,"1,951 reviews",Studio (2 Adults),2.5 km from downtown
Best Western Hotel Opéra Drouot,US$815,8.2,Very Good,"1,682 reviews",Classic Single Room,1.9 km from downtown
Gavarni,US$816,8.4,Very Good,"2,396 reviews",Standard Room,5 km from downtown
Hôtel Marais de Launay,US$717,8.3,Very Good,"1,493 reviews",Standard Single Room,1.3 km from downtown
Hotel Le Clos d'Alésia,US$477,7.6,Good,"1,735 reviews",Superior Double Room,3.9 km from downtown
Hotel Flanelles Paris,US$998,8.4,Very Good,"1,057 reviews",Standard Double Room,2.6 km from downtown
Hôtel Pastel Paris,US$879,8.3,Very Good,624 reviews,Standard Single Room,4.7 km from downtown
Hôtel Rosalie,US$923,8.8,Excellent,"2,306 reviews",Single Room,2.7 km from downtown
Hôtel Ambassadeur,US$543,7.3,Good,"2,822 reviews",Single Room,4.3 km from downtown
Hôtel Elysées Flaubert,US$643,8.5,Very Good,"1,381 reviews",Standard Single Room,4.8 km from downtown
Hotel Apolonia Paris Montmartre; Sure Hotel Collection by Best Western,US$487,8.1,Very Good,"2,019 reviews",Standard Single Room,3.9 km from downtown
Timhotel Odessa Montparnasse,US$587,7.9,Good,"2,253 reviews",Single Room,2.5 km from downtown
Holiday Inn Express Paris-Canal De La Villette by IHG,US$762,8.1,Very Good,"5,850 reviews",Standard Room,4 km from downtown
Hôtel de Charonne,US$602,7.0,Good,590 reviews,Standard Double Room,2.7 km from downtown
Hôtel du Jardin des Plantes,US$781,7.6,Good,"2,334 reviews",Comfort Double Room,1.4 km from downtown
ibis Paris Nation Davout,US$583,7.2,Good,"1,034 reviews",Standard Double Room,4.3 km from downtown
Hotel Ascot Opera,US$714,8.1,Very Good,"1,917 reviews",Single Room with Shower,1.8 km from downtown
HOTEL DE PARIS MONTPARNASSE,US$654,8.2,Very Good,"2,795 reviews",Single Room with Garden View,2.8 km from downtown
Best Western Plus Hotel Sydney Opera,"US$1,020",9.1,Wonderful,"1,434 reviews",Classic Double Room,2.7 km from downtown
Hotel du Lys,US$708,7.6,Good,"2,011 reviews",Single Room,0.8 km from downtown
ibis Paris Gare du Nord Château Landon 10ème,US$581,7.6,Good,"5,632 reviews",Standard Double Room,2.8 km from downtown
Hôtel Beaurepaire,US$667,7.4,Good,634 reviews,Single Room,1.7 km from downtown
Hôtel Brittany,US$801,8.4,Very Good,"1,145 reviews",Cozy Single,2.4 km from downtown
NH Paris Opéra Faubourg,US$860,8.0,Very Good,"1,815 reviews",Standard Room,2.2 km from downtown
FRATERNiTY-HOTEL,US$236,9.1,Wonderful,520 reviews,Bunk Bed in Mixed Dormitory Room,2.4 km from downtown
Hotel Monterosa - Astotel,US$691,8.5,Very Good,782 reviews,Single Room,2.8 km from downtown
Hotel Astoria - Astotel,US$701,8.4,Very Good,"1,794 reviews",Single Room,3.5 km from downtown
Hôtel Madeleine Plaza,"US$1,168",8.2,Very Good,831 reviews,Standard Double Room,2.5 km from downtown
Hotel du Pré,US$612,8.3,Very Good,"1,852 reviews",Single Room,2.3 km from downtown
Tilsitt Etoile Paris,US$919,8.0,Very Good,"1,528 reviews",Superior Double Room,4.7 km from downtown
Sonder Le Frochot,US$747,7.8,Good,752 reviews,Small Double Room,2.9 km from downtown
Relais du Pré,US$666,8.0,Very Good,"1,344 reviews",Single Room,2.4 km from downtown
Helussi Hôtel,US$901,9.0,Wonderful,995 reviews,Classic Double or Twin Room,2.4 km from downtown
Hôtel Du Midi Paris Montparnasse,US$544,8.3,Very Good,"2,485 reviews",Small Single Room,3 km from downtown
Hotel Joyce - Astotel,US$722,8.7,Excellent,"1,154 reviews",Single Room,2.8 km from downtown
Greet Hotel Paris porte de la Chapelle - Aréna,US$433,7.4,Good,"3,536 reviews",Queen Room,5.1 km from downtown
B&B HOTEL Paris Nord 18ème,US$635,8.1,Very Good,"5,031 reviews",Double Room,5 km from downtown
Denfert-Montparnasse,US$424,7.4,Good,"1,397 reviews",Double or Twin Room,3 km from downtown
Hôtel AMI - Orso Hotels,US$592,8.8,Excellent,"1,126 reviews",Single Room - La petite Amie,3.9 km from downtown
Timhotel Montmartre,US$811,8.2,Very Good,"2,378 reviews",Comfort Single Room,3.4 km from downtown
Beau M Paris,US$227,8.7,Excellent,"2,575 reviews",Single Bed in 12-Bed Mixed Dormitory Room,4.3 km from downtown
Terminus Orléans Paris,US$439,8.4,Very Good,"1,885 reviews",Single Room,4.2 km from downtown
Hôtel Maxim Quartier Latin,"US$1,196",8.6,Excellent,"1,760 reviews",Single Room,1.8 km from downtown
Hôtel Montcalm,US$652,8.2,Very Good,"1,317 reviews",Classic Queen Room,5 km from downtown
ibis Paris Canal Saint Martin,US$669,8.0,Very Good,"1,553 reviews",Standard Double Room,2.8 km from downtown
Best Western Allegro Nation,US$629,8.2,Very Good,562 reviews,Standard Twin Room,4.2 km from downtown
Hôtellerie L'Enclos Rey,US$595,8.2,Very Good,295 reviews,Twin Room,4.4 km from downtown
ibis Paris Bercy Village,US$633,8.2,Very Good,"4,360 reviews",Standard Double Room - Disability Access,3.7 km from downtown
Hôtel Neptune Place d'Italie,US$453,7.8,Good,"2,338 reviews",Single Room,2.8 km from downtown
Hotel Palm - Astotel,US$742,8.9,Excellent,"1,317 reviews",Single Room,2.4 km from downtown
Hotel de la Tour,US$675,8.2,Very Good,804 reviews,Single Room,2.7 km from downtown
Best Western Empire Elysees,US$738,8.4,Very Good,"4,626 reviews",Classic Single Room,4.7 km from downtown
District Republique,US$556,8.3,Very Good,"1,697 reviews",Standard Single Room,1.7 km from downtown
District Nation,US$601,8.6,Excellent,"1,408 reviews",Standard Room,3.1 km from downtown
lyf Gambetta Paris,US$726,N/A,N/A,N/A,One of a kind Room,3.9 km from downtown
Mary's Hotel République,US$567,8.2,Very Good,"4,815 reviews",Standard Single Room,1.5 km from downtown
ibis Daumesnil Porte Doree,US$421,8.1,Very Good,"1,815 reviews",Standard Room with 1 Single Bed,4.6 km from downtown
Hôtel Exquis,US$808,8.5,Very Good,"1,435 reviews",Double Room - Insolite,2.2 km from downtown
Hôtel Sophie Germain,US$535,8.3,Very Good,"1,413 reviews",Double Room,3.2 km from downtown
Hôtel Eiffel Turenne,US$979,8.7,Excellent,"1,227 reviews",Comfort Single Room with Shower,3.2 km from downtown
Hôtel Le Regent Paris,"US$1,123",8.3,Very Good,"2,304 reviews",Standard Single Room,1 km from downtown
Hotel Lorette - Astotel,US$776,8.5,Very Good,"2,213 reviews",Double Room,2.7 km from downtown
St Christopher's Inn Paris - Canal,US$212,7.4,Good,"7,885 reviews",Bed in 12-Bed Dormitory Room,4.1 km from downtown
Citadines Bastille Gare de Lyon Paris,US$692,7.9,Good,"2,412 reviews",Studio (2 Adults),2.6 km from downtown
Royal Garden Champs-Élysées,"US$1,232",8.3,Very Good,"1,410 reviews",Classic Single Room,4.1 km from downtown
Hôtel Elysées Paris,US$816,7.5,Good,723 reviews,Deluxe Single Room,4.6 km from downtown
Sonder Quintinie,US$729,8.1,Very Good,678 reviews,Apartment - Ground Floor,3.8 km from downtown
Hôtel Le Compostelle,US$799,8.0,Very Good,"1,381 reviews",Double Room with Shower,400 m from downtown
Hotel Bridget,US$669,8.3,Very Good,"1,033 reviews",Double Room,3.5 km from downtown
Citadines Montparnasse Paris,US$632,8.2,Very Good,"2,082 reviews",Classic Double Room,2.9 km from downtown
Hôtel Du Lion,US$509,8.3,Very Good,"1,149 reviews",Single Room,3 km from downtown
ibis Styles Paris Nation Porte De Montreuil,US$603,7.9,Good,"2,379 reviews",Standard Twin Room,4.3 km from downtown
Hôtel Arvor Saint Georges,US$814,8.6,Excellent,912 reviews,Classic Room,2.6 km from downtown
Timhotel Paris du Gare du Nord,US$696,7.7,Good,538 reviews,Comfort Single Room,2.6 km from downtown
Hôtel Emile Le Marais,"US$1,151",8.0,Very Good,"1,215 reviews",Single Room,0.7 km from downtown
Moris Grands Boulevards,US$673,8.9,Excellent,"2,921 reviews",Single Room,1.5 km from downtown
Hôtel de Genève,US$646,7.8,Good,"2,298 reviews",Double Room,2.9 km from downtown
Moxy Paris Bastille,"US$1,015",8.0,Very Good,"1,072 reviews",MOXY Sleeper Queen,1.4 km from downtown
Hotel Monsieur & Spa,"US$1,025",8.5,Very Good,"1,026 reviews",Superior Double Room with with Private Hammam Access,2.9 km from downtown
Hôtel Alane,US$463,7.6,Good,"1,499 reviews",Single Room,2.1 km from downtown
ibis Styles Paris Bercy,US$592,7.7,Good,"9,647 reviews",Standard Double Room,3 km from downtown
Résidence du Pré,US$624,8.3,Very Good,"2,699 reviews",Standard Single Room,2.4 km from downtown
Hôtel La Nouvelle République & Hammam,US$652,8.5,Very Good,"1,466 reviews",Chambre Simple,2.4 km from downtown
XO Hotel Paris,US$819,9.0,Wonderful,"1,149 reviews",Classic Double Room,4.8 km from downtown
Hôtel Le Cardinal,"US$1,015",8.1,Very Good,"2,325 reviews",Standard Single Room,3.2 km from downtown
Hôtel Baudelaire Opéra,US$867,8.0,Very Good,"1,141 reviews",Single Room,1.7 km from downtown
Hotel Inn Design Paris Place d'italie,US$612,8.1,Very Good,"3,704 reviews",Double Room,2.8 km from downtown
New Hotel Roblin,"US$1,049",8.7,Excellent,"1,857 reviews",Standard  Room,2.6 km from downtown
Hotel du Chemin Vert,US$535,7.8,Good,"2,024 reviews",Standard Single Room,2.2 km from downtown
Hotel Boileau,US$643,8.1,Very Good,719 reviews,Single Room,6.8 km from downtown
Hotel Ile de France Opéra,US$737,7.7,Good,784 reviews,Single Room,1.8 km from downtown
Legend Hôtel Paris,"US$1,174",8.3,Very Good,"1,685 reviews",Double Room,2.3 km from downtown
Drawing House,"US$1,133",9.0,Wonderful,"5,630 reviews",Double Room,3.2 km from downtown
Paris Art Hotel Quartier Latin by Malone,"US$1,298",8.9,Excellent,"1,368 reviews","Classic Single Room ""Stripe""",1 km from downtown
Hôtel Les Deux Gares,US$667,8.4,Very Good,"1,045 reviews",Standard Single Room,2.5 km from downtown
Hotel Pilime,"US$1,071",8.6,Excellent,"2,026 reviews",Single Room,3.4 km from downtown
Camelia Prestige - Place de la Nation,US$471,7.4,Good,"3,169 reviews",Single Room,3.3 km from downtown
Kyriad Paris 10 - Canal Saint Martin - République,US$675,7.7,Good,538 reviews,Double Room,1.9 km from downtown
ibis Styles Paris Buttes Chaumont,US$607,8.1,Very Good,"1,659 reviews",Single Room,3.7 km from downtown
UCPA SPORT STATION HOSTEL PARIS,US$178,8.0,Very Good,"7,466 reviews",Bed in 6-Bed Female Dormitory Room,4.6 km from downtown
Campanile Paris 15 - Tour Eiffel,US$683,8.0,Very Good,642 reviews,Standard Room - 1 Single Bed,4.6 km from downtown
Hôtel Edgar Quinet,US$420,6.0,Review score,"2,358 reviews",Single Room,2.6 km from downtown
Campanile Paris 14 - Maine Montparnasse,US$442,8.3,Very Good,"4,336 reviews",Room Run of House,3.2 km from downtown
Hôtel Du Brabant,US$561,5.9,Review score,"2,318 reviews",Double Room,2.3 km from downtown
Hotel Havane Opera,US$675,6.9,Review score,421 reviews,Single Room,2.2 km from downtown
Hôtel Montparnasse Saint Germain,US$693,7.9,Good,"1,578 reviews",Single Room,2.6 km from downtown
Campanile Prime Paris 19 - La Villette,US$584,8.4,Very Good,"6,861 reviews",Standard Room - 1 Queen Bed,4.6 km from downtown
Hôtel Le Montmartre Saint Pierre,US$687,8.5,Very Good,46 reviews,Single Room,3.1 km from downtown
Hôtel Moulin Vert,US$406,7.5,Good,"1,291 reviews",Single Room,3.6 km from downtown
Hôtel Orchidée,US$551,8.5,Very Good,"3,382 reviews",Double Room with Street View,3.3 km from downtown
Grand Hôtel Magenta,US$561,6.9,Review score,"2,764 reviews",Double Room,2.7 km from downtown
Hotel Atelier Vavin,US$751,6.8,Review score,769 reviews,Double Room Cabriole,2.3 km from downtown
Color Design Hotel,US$680,7.0,Good,"1,360 reviews",Standard Double Room,2.3 km from downtown
Le Coffice Auberge de Jeunesse,US$150,5.1,Review score,"3,408 reviews",Bunk Bed in Mixed Dormitory Room with Shared Bathroom,3.7 km from downtown
Hotel Pacific,US$507,5.1,Review score,538 reviews,Large Double Room,1.8 km from downtown
Hôtel Maison Traversière,US$842,8.7,Excellent,580 reviews,Standard Double Room,1.9 km from downtown
HOTEL WATTIGNIES,US$556,6.6,Review score,46 reviews,Large Double Room,3.7 km from downtown
Timhotel Opéra Blanche Fontaine,US$697,8.2,Very Good,"1,615 reviews",Comfort Single Room,3.2 km from downtown
Hotel Daval,US$564,7.2,Good,541 reviews,Double Room,1.4 km from downtown
Hôtel Vendome Saint-Germain,"US$1,043",8.8,Excellent,"2,194 reviews",Small Double Room,1 km from downtown
Eiffel Kennedy,US$643,7.9,Good,"1,454 reviews",Single Room with Shower,5.5 km from downtown
Hotel Taylor,US$699,8.8,Excellent,"3,131 reviews",Mini,1.5 km from downtown
Hotel Albe Bastille,US$612,8.1,Very Good,"2,440 reviews",Standard Single Room,1.9 km from downtown
Excelsior Opera,US$849,8.1,Very Good,842 reviews,Single Room,2.2 km from downtown
Le Lampika Hôtel,US$771,8.5,Very Good,371 reviews,Deluxe Single Room,3 km from downtown
Timhotel Opera Madeleine,US$748,7.8,Good,"2,050 reviews",Comfort Single Room,2.8 km from downtown
Hôtel Veryste & Spa Paris,US$830,8.0,Very Good,922 reviews,Classic Double Room,2.2 km from downtown
Hotel Riviera Elysees,US$813,6.7,Review score,"1,048 reviews",Single Room,4.8 km from downtown
Hôtel Jeanne d'Arc Le Marais,"US$1,253",8.4,Very Good,867 reviews,Single Room with Shower,0.9 km from downtown
Maison Malesherbes,"US$1,036",8.7,Excellent,676 reviews,Single Room,3.2 km from downtown
La Villa des Ternes,US$818,8.1,Very Good,797 reviews,Solo Room,5.5 km from downtown
Hôtel Riesner,US$743,8.9,Excellent,"1,773 reviews",Large Single Room,1.8 km from downtown
Beaugrenelle St-Charles Tour Eiffel,US$638,8.0,Very Good,"1,231 reviews",Single Room with Shower,4.9 km from downtown
Libertel Gare de L'Est Francais,US$637,8.1,Very Good,"2,716 reviews",Single Room Cozy,2.2 km from downtown
Plug inn Montmartre by Hiphophostels,US$257,8.1,Very Good,"2,016 reviews",Bed in 6-Bed Mixed Dormitory Room,3.4 km from downtown
Hotel Caumartin Opéra - Astotel,US$824,8.0,Very Good,"1,463 reviews",Single Room,2.4 km from downtown
Champerret Heliopolis,US$594,8.7,Excellent,"1,008 reviews",Single Room,5.3 km from downtown
Holiday Inn Paris - Gare de Lyon Bastille by IHG,US$867,8.4,Very Good,"2,177 reviews",Standard Room,1.9 km from downtown
